Address,Parcel,Code Number,Code Description,Date Cited,Date Corrected,Violation Status,Case Number,Code Case Status
"14 KIRKLAND PL
Cambridge, MA 02139
(42.378316, -71.113105)",145-11,410.55,"Extermination of Insects, Rodents and Skunks",05/25/2016 12:00:00 AM,06/28/2016 12:00:00 AM,Corrected,HOU-013219-2016,Closed
"67 Holworthy St
Cambridge, MA 02139
(42.376489, -71.150302)",253-8,410.5,Owner's Resp. to Maintain Structural Elements,11/30/2015 12:00:00 AM,01/14/2016 12:00:00 AM,Corrected,HOU-009963-2015,Closed
"309 BROADWAY
Cambridge, MA 02139
(42.369019, -71.100253)",87-136,410.6,Storage of Garbage and Rubbish,09/01/2016 12:00:00 AM,10/04/2016 12:00:00 AM,Corrected,HOU-014957-2016,Closed
"207 Grove St
Cambridge, MA 02139
(42.383994, -71.158899)",266-9,410.452,Safe Condition,06/27/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013781-2016,Closed
"118 MAGAZINE ST
Cambridge, MA 02139
(42.359744, -71.110388)",102-25,410.6,Storage of Garbage and Rubbish,05/26/2016 12:00:00 AM,06/29/2016 12:00:00 AM,Corrected,HOU-013254-2016,Closed
"213 HURLEY ST
Cambridge, MA 02139
(42.368412, -71.081406)",24-31,410.602,Maint. of Areas Free from Garbage and Rubbish,05/06/2016 12:00:00 AM,06/01/2016 12:00:00 AM,Corrected,HOU-012815-2016,Closed
"273 CARDINAL MEDEIROS AVE
Cambridge, MA 02139
(42.368506, -71.090498)",40-110,410.602,Maint. of Areas Free from Garbage and Rubbish,03/17/2016 12:00:00 AM,04/01/2016 12:00:00 AM,Corrected,HOU-011918-2016,Closed
"28 RIVER ST
Cambridge, MA 02139
(42.364844, -71.105849)",105-120,410.6,Storage of Garbage and Rubbish,07/06/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013939-2016,Closed
"51 DANA ST
Cambridge, MA 02139
(42.372532, -71.108431)",139-31,410.551,Screens for Windows,08/26/2016 12:00:00 AM,01/23/2017 12:00:00 AM,Corrected,HOU-014834-2016,Closed
"323 River St
Cambridge, MA 02139
(42.36221, -71.113636)",129-42,410.201,Temperature Requirements,12/13/2016 12:00:00 AM,04/12/2017 12:00:00 AM,Corrected,HOU-016415-2016,Closed
"17 FAYETTE ST
Cambridge, MA 02139
(42.371779, -71.103895)",113-67,410.5,Owner's Resp. to Maintain Structural Elements,01/18/2017 12:00:00 AM,03/30/2017 12:00:00 AM,Corrected,HOU-016747-2017,Closed
"17 Putnam Ave
Cambridge, MA 02139
(42.370083, -71.113324)",132-50,410.6,Storage of Garbage and Rubbish,05/31/2017 12:00:00 AM,06/27/2017 12:00:00 AM,Corrected,HOU-018782-2017,Closed
"323 River St
Cambridge, MA 02139
(42.36221, -71.113636)",129-42,410.5,Owner's Resp. to Maintain Structural Elements,10/13/2016 12:00:00 AM,04/12/2017 12:00:00 AM,Corrected,HOU-015679-2016,Closed
"1667 CAMBRIDGE ST
Cambridge, MA 02139
(42.374995, -71.110702)",142-132,410.55,"Extermination of Insects, Rodents and Skunks",03/22/2016 12:00:00 AM,05/31/2016 12:00:00 AM,Corrected,HOU-012754-2016,Closed
"19 OAK ST
Cambridge, MA 02139
(42.374263, -71.099505)",83-57,410.6,Storage of Garbage and Rubbish,06/16/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013591-2016,Closed
"113 HAMPSHIRE ST
Cambridge, MA 02139
(42.36972, -71.095941)",79-115,410.351,Owner's Inst. and Maint. Responsibilities,11/30/2016 12:00:00 AM,04/03/2017 12:00:00 AM,Corrected,HOU-016256-2016,Closed
"35 EUSTIS ST
Cambridge, MA 02139
(42.383468, -71.114449)",151-60,410.6,Storage of Garbage and Rubbish,02/21/2017 12:00:00 AM,04/24/2017 12:00:00 AM,Corrected,HOU-017129-2017,Closed
"81 DANA ST
Cambridge, MA 02139
(42.374284, -71.107199)",139-18,410.253,Light Fixtures Oth than in Habit. Rooms or Kitch.,09/23/2016 12:00:00 AM,01/19/2017 12:00:00 AM,Corrected,HOU-015320-2016,Closed
"98 Columbia St
Cambridge, MA 02139
(42.365908, -71.098496)",75-20-2,410.55,"Extermination of Insects, Rodents and Skunks",05/18/2016 12:00:00 AM,06/29/2016 12:00:00 AM,Corrected,HOU-013110-2016,Closed
"1643 CAMBRIDGE ST
Cambridge, MA 02139
(42.374873, -71.109758)",140-149-55,410.5,Owner's Resp. to Maintain Structural Elements,02/05/2016 12:00:00 AM,07/12/2016 12:00:00 AM,Corrected,HOU-011073-2016,Closed
