,Audio_ID,Audio_Prompt,Audio_Path,Audio_Time,Audio_MFCC,Prompts_Length,Predicted_Sentence
0,ar-01.wav,Once there was a young rat named Arthur who never could make up his mind. ,/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/ar-01.wav,6.25,"[[ -7.14027789e+01   1.66506329e+01   7.90910317e+00 ...,  -4.58264744e+00
    4.62496586e+00   5.87905598e+00]
 [ -7.70826322e+01   7.58925184e+00   6.41157915e-02 ...,  -5.08372681e+00
    7.99392972e+00  -2.73791068e+00]
 [ -7.03925650e+01   3.82802509e+00  -4.62489904e+00 ...,   1.25033100e+01
    5.55225969e+00   1.01070861e+01]
 ..., 
 [ -9.25571828e+01  -1.42184071e+01  -2.38970313e+01 ...,  -2.07172545e-01
   -1.42938468e+00  -9.68122136e-01]
 [ -1.01312460e+02  -1.11794219e+01  -3.54877015e+00 ...,   6.86936297e+00
    1.53203561e+01   9.33000504e+00]
 [ -7.31278793e+01   3.17316370e+00  -1.23244679e+01 ...,   1.90236759e+01
    1.10718256e+01   7.51622102e+00]]",15,km oogd u htti.nprcAirnrhslc a nt am mhvonae  dweaeO u w  eyhuee  rnaeudrs
1,ar-02.wav,"Whenever his friends asked him if he would like to go out with them, ",/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/ar-02.wav,5.375,"[[ -6.78487103e+01   5.48487660e+00  -6.86397350e+00 ...,   9.50871075e+00
    1.70073317e+01   1.74128325e+01]
 [ -9.34101046e+01  -1.13516795e+01  -1.42831461e+01 ...,  -3.27284967e-02
    8.32358971e+00   7.07612438e+00]
 [ -7.80695518e+01  -5.91600385e-01  -3.30496868e+00 ...,   6.93348035e+00
   -7.40075061e+00  -6.89174554e+00]
 ..., 
 [ -6.98263749e+01   1.33227752e+01   1.35411498e+01 ...,   4.74077746e-01
   -3.85511350e+00   1.31970745e+01]
 [ -7.32780872e+01   8.44739131e+00   2.60823960e+00 ...,   1.11006010e+00
    1.77138506e+01   2.53258423e+01]
 [ -5.73317483e+01   1.94052638e+01   1.34890176e+01 ...,   5.06925432e+00
    5.85116908e+00   1.69804418e+00]]",14,"e  hdskwhuloeoie euhavh h s t dte r oeiten m fik  ii eor,dshglwfnitWm"
2,ar-03.wav,"he would only answer, ""I don't know;"" he wouldn't say yes or no either. ",/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/ar-03.wav,6.5,"[[-56.13704035   0.91767651 -22.61451455 ...,  -1.66100852  13.03209469
   20.0935326 ]
 [-79.03552634  13.96304536  -5.53421962 ...,  -2.196813     5.95760346
   18.2231182 ]
 [-57.94470157  20.01860441  -2.33747016 ...,  -0.45429432   9.72554529
   16.23384141]
 ..., 
 [-66.12221156  25.11987922  14.34776004 ...,  -4.0020483    5.81885714
   -6.50961454]
 [-54.03733447  38.25009229  28.83617567 ...,  19.60498835  20.25082119
    1.23478638]
 [-54.10809505  10.44491201   1.99793944 ...,   8.7077048   13.18880434
   -6.64040845]]",16,"ow'  skr  ne""no n   wyol  ,woe.ohtailtI;sytynuu elrnod d ea""dhees wnr'oh"
3,ar-04.wav,"He would always shirk making a choice. His Aunt Helen said to him, ",/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/ar-04.wav,5.875,"[[-64.27586929   4.5485012  -18.80662519 ..., -10.61750203  -1.95504352
   -2.42543482]
 [-98.43401529 -23.59407234 -17.58719389 ...,  -6.17513814  -3.62735023
   -6.77370993]
 [-76.44288155   6.36352956  -3.45103011 ...,  -1.76069204   3.21876147
    6.79906382]
 ..., 
 [-62.79205131  13.77199193 -10.37528028 ...,   1.22460425   2.27952067
    7.59201291]
 [-88.98534987 -19.41087692 -20.75452547 ...,   4.56078596   8.70988471
   15.05894458]
 [-67.81353014   8.70292018  -4.58877731 ...,   5.43163769   2.06363951
    0.62299271]]",13,"Hse,clwtH  mliuihs Hoaitd  nnenaumc A.a  iils aehaydkro oieswk g h "
4,ar-05.wav,"""Now look here! No one is going to care for you if you carry on like this."" ",/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/ar-05.wav,6.625,"[[-42.91302824  18.4081023   12.35100092 ...,  11.79037485   6.05392318
    7.7291802 ]
 [-65.9962438   24.39681233   9.94350301 ...,  10.30645434  11.01041802
    6.16775164]
 [-59.68016175  12.4195689    2.16701718 ...,   2.01402022  14.07929648
    9.82924411]
 ..., 
 [-84.2331964   -9.24885365 -20.96618117 ...,   1.26643771  -1.00212537
   -7.8210797 ]
 [-70.55695625   5.5883388  -19.67010351 ...,  -6.0903553   12.01683497
   -0.54446581]
 [-71.97989078  -5.3665242  -21.42426332 ...,   3.94750653   1.11300919
    5.36981641]]",17,"hri ia su! o ouw lnof""ekyh inccoo iiNregse y.tootl  grr ""rN oyke n  fo oaoe "
5,ar-06.wav,You have no more mind than a blade of grass. ,/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/ar-06.wav,4.5,"[[-45.20641463  19.35032545   8.54280095 ...,   7.26638865   3.95580841
    8.14504693]
 [-66.94878768  21.60451215   6.24564271 ...,  15.31133568  20.68859938
   10.0772832 ]
 [-46.61938968  19.70868422   4.57652534 ...,  -3.37745016  -3.98891959
   -5.82024577]
 ..., 
 [-80.14814653   0.75229753   2.73323263 ..., -11.42368949   2.09539934
   -0.41340762]
 [-78.39080681   6.8372797  -14.85118372 ...,  11.99590405   1.9392004
   -0.34333577]
 [-75.24990127   5.78416598  -9.48056631 ...,  -3.49485459   1.8890261
    4.09855996]]",10,d ostYnedloanagi .mbm a  a uaoe ovsh frr hn e
6,ar-07.wav,One rainy day the rats heard a great noise in the loft. ,/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/ar-07.wav,5.375,"[[-75.04153371   0.76146698  -5.16078322 ...,   3.01251186  11.61355349
    8.7182671 ]
 [-72.20872881  -2.29252652  -4.0360692  ...,   0.81701578   7.13830951
   16.04498457]
 [-64.49308258  14.13892087   6.24027192 ...,  -2.87786539  -0.98722837
    1.75551569]
 ..., 
 [-74.74224831   4.29091124  -7.4482517  ...,  -8.14233773   1.79072855
    4.96342815]
 [-70.91096011  -4.03136685  -9.04291367 ...,   5.26780179   3.4017828
    4.15755189]
 [-68.08291594   4.63807747  -3.62975515 ...,  -2.044946    -3.06588167
    8.55965859]]",12,n nsrhaeo e  stnoeaidiOirhda hyta trl e.ytnrag  fe e  ta
7,rp-29.wav,since red and green light when mixed form yellow. ,/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/rp-29.wav,5.125,"[[-80.98457578  -4.08334894  -5.54515063 ...,   0.17370267  -9.03926313
  -11.40354705]
 [-55.50535774  28.30638132   0.6129806  ...,   1.28451931  -1.03954705
   -0.1047907 ]
 [-54.63330985  12.62146674   1.93002558 ...,   8.89563004  14.20244891
   17.33190964]
 ..., 
 [-55.3504808    2.67847168 -14.80969482 ...,  -5.3607765    5.69282805
    5.01886433]
 [-83.87048802  -4.38834934 -24.61159781 ...,   3.68888429   2.30917259
   -7.33182586]
 [-72.53345522   1.22145988 -12.85515567 ...,  -2.22816425  10.34280238
   10.24935256]]",9, wnn  lten eexodmlemngg shie efdr h rli cedoryia.w
8,rp-30.wav,"This is a very common type of bow, one showing mainly red and yellow, ",/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/rp-30.wav,6.375,"[[-88.5948065    2.65618121  -5.06809504 ...,  20.45487257   4.08164994
   13.19998329]
 [-59.54853258  25.52519069   9.31105726 ...,  -4.87945202   2.54598635
   -3.06925215]
 [-67.69475748  19.86612697   3.74235735 ...,  14.01738978  15.57596319
    6.64705478]
 ..., 
 [-74.56509003  10.22290374  -6.60019883 ...,   4.75500582  14.24579407
   11.64560469]
 [-67.01688651  15.43962017  -0.82024268 ...,   8.11140218  10.44440929
   10.24229362]
 [-69.81608819  -2.83859314 -17.02392628 ...,   4.72438716   3.53535874
    2.96754203]]",14,"tmh fyTm,w   neno y wlylboro psiilmir a  yd havwo sieegedooecsnon  ,an"
9,rp-31.wav,with little or no green or blue.,/Users/Gurtej/Desktop/Data_Part_Project/1028-20100710-hne/wav/rp-31.wav,4.125,"[[-52.97730573  15.90288966   0.18626564 ...,  -2.90826671  -4.30157287
   -2.76732615]
 [-48.8289736    6.52173806  -2.20522609 ...,  -4.20159195   0.77886006
    7.96173892]
 [-59.11200216  -5.16995592 -16.94442987 ...,  -7.80087723   9.71353102
   10.55324149]
 ..., 
 [-56.16227896  27.85119292  -1.52602635 ...,  13.92085589   3.68637654
   -5.73327566]
 [-71.28901149  18.41798596  18.83902642 ...,  -7.45667375   1.77376997
    4.42391053]
 [-64.1234762   10.7233374    5.28010518 ...,   8.29484039  13.77758975
    3.31033408]]",7,r.ibo  ngw  etltotorleur eh einl
10,en-0532.wav,This will be discussed with industry ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0532.wav,4.625,"[[ -80.23220011   49.87136479   38.28441036 ...,   -5.81815028
     0.49935197   -4.80052301]
 [ -77.74041277   56.8858224    24.68550649 ...,    9.54118576
     7.55682783  -16.23234401]
 [ -68.21658623   47.50229087   35.99451373 ...,    4.99476758   10.7904628
    -0.5731886 ]
 ..., 
 [ -55.31962116   51.30490225   37.24026343 ...,    1.62136371    3.7094024
    11.60410948]
 [ -68.66838404   44.86326283   26.42919928 ...,  -25.48454057
    -9.44480973   -3.42636866]
 [-101.39523328   39.12986337   33.95933349 ...,   -4.18610294
     6.68422425   11.87203926]]",6,s   iTstsdw nsledbhihdiuui rtileyscw 
11,en-0533.wav,through a series of informal outreach sessions over the next few months ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0533.wav,6.875,"[[ -41.90821563   58.4943051    29.57213142 ...,    1.57732109
     8.68174942   -2.32505268]
 [ -65.93702981   53.29496533   45.23973809 ...,    3.255629     -0.48880878
    -6.57939917]
 [-103.25886785   30.31215936   35.65814968 ...,    9.78413882
     4.84738221   -6.65730802]
 ..., 
 [ -89.30030297   43.83939246   30.53358809 ...,    4.64707932
    -7.46357188   -0.35992445]
 [ -74.96313134   45.34745295   38.50975254 ...,   -5.82867984
     8.46606573   -5.76460478]
 [ -62.28682856   47.03881638   29.08367531 ...,   -4.39716353    4.2306956
     7.38936506]]",12,s eois  ve ihsuwnnmrcrthtershotlae ote o  xsreho rhfosaeft nma seg ifnou
12,en-0534.wav,Here the classes are total immersion ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0534.wav,4.25,"[[-74.29443449  41.13198768  23.39658831 ...,  -2.82515016   1.93238394
    2.96187993]
 [-63.42443519  62.41009769  42.38591188 ...,  13.11423786  12.99285965
    1.91075736]
 [-45.74720849  56.88487469  34.83480708 ...,   1.80475148  -3.39316603
   -3.08548827]
 ..., 
 [-71.33116943  52.49025128  34.13540722 ...,   4.84644253   9.7836979
    1.89665328]
 [-45.99609257  66.23540875  33.00590118 ...,   7.59961896   3.63518219
    7.29801269]
 [-45.95502467  64.71720091  37.36412939 ...,   1.06975728  -1.51075421
    5.34791407]]",6,msocearitosa enieeHrle e rs sth m tla
13,en-0535.wav,so that he is in with children from a variety of cultural backgrounds ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0535.wav,6.0,"[[ -74.92069067   30.01189992   17.79960234 ...,   -2.03459614
    10.05976256    0.87842801]
 [-106.34018894   25.40512332   21.17102076 ...,    2.34289622
    -6.61706245  -14.42106435]
 [ -80.37898906   45.32482606   30.39019308 ...,   -9.46406952    2.6268416
    -2.68714206]
 ..., 
 [ -93.23713013   28.88741146   13.07572746 ...,    0.72161273
     7.95749363    8.21536723]
 [ -60.83612904   54.64333751   34.68761992 ...,    7.9184592     9.83990184
     4.78353217]
 [ -86.13726476   39.96283383   25.86196123 ...,    1.46206567
     7.69556907   -3.74331541]]",13,aairo uef nsolna c t riokh  dailuw inog rrhec tifthvr sltdmh sye bautc
14,en-0536.wav,Attached please find the spreadsheet ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0536.wav,4.0,"[[ -88.81297093   46.25845859   45.16659305 ...,    1.87145233
    17.20033903    5.02482921]
 [-103.11144264   28.1027118    30.62674138 ...,   14.13047058
    11.36039981   -6.55845359]
 [ -92.84014345   35.06988234   34.66299597 ...,   12.31552042   15.9844619
    -3.12215371]
 ..., 
 [ -80.08148374   44.59479785   29.20542955 ...,    3.56071673
    18.32043932    3.72204599]
 [-115.42377312   36.73387624   35.67927936 ...,    5.40786484
     7.98536819   13.05733815]
 [ -98.80645554   24.19072742   24.41117432 ...,   12.25688092
    20.28285466   15.00634661]]",5, lrehh aefese tnepcadidtdtst aspehA e
15,en-0537.wav,containing the above referenced information. ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0537.wav,4.625,"[[-77.05639384  24.45339082  23.71619777 ...,  11.83770099  18.71921449
    1.82494959]
 [-77.59856939  36.27140914  29.06365238 ...,   4.89559348   3.18192815
   -6.13211489]
 [-81.21315756  43.34997857  32.90217252 ...,   0.29450488  11.68180998
    8.76796422]
 ..., 
 [-72.9986668   51.71856871  33.79556912 ...,  -3.57198176   8.49727521
  -11.44888505]
 [-85.02619045  30.32751284  23.26642285 ...,   8.83091982   6.24273088
    1.8578717 ]
 [-87.55918634  33.79152564  17.42968664 ...,  -8.19321961  -0.77399685
  -13.11960348]]",5,tieretaneano oe cdon amefr.ion  gefihnvtbnrci
16,en-0538.wav,Please could we pull together ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0538.wav,3.5,"[[-102.81539358   27.72585591   15.23760547 ...,    9.69589342   20.1036381
    10.85823324]
 [-112.11591313   36.08693712   20.7322496  ...,    9.46542184
     3.34183313   -8.89290899]
 [ -70.2557093    49.18978492   24.64440344 ...,    4.40546881
    11.53290286    0.22592499]
 ..., 
 [-136.12133055    9.19340139   19.47066102 ...,    4.85617876
     8.33647537   -3.79873275]
 [ -50.25808259   57.08240591   26.44299195 ...,   -1.91196405
     7.72475498    7.26269958]
 [ -80.99678066   29.13570183   23.62423241 ...,    3.90085473
    -2.71213832  -14.44299923]]",5,tlced etwuleslehol  rgeup oaP 
17,en-0539.wav,the format inception document this week for signature ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0539.wav,5.5,"[[-103.93948267   18.57482218   17.73546562 ...,   -0.99026758
     2.47032083    1.61817152]
 [ -88.320591     38.95447004   31.38057466 ...,   17.87231773
    16.50169235    9.43380031]
 [-114.57787829   25.60454535   13.56687273 ...,    3.90059335
     2.46453172   -0.43946318]
 ..., 
 [ -75.71429904   38.86079394   45.48009671 ...,   12.50903257
     0.63256224   -5.57463892]
 [-101.30764629   30.57517208   38.21826507 ...,   -1.42133148
     3.88527138   -3.14558086]
 [ -87.96716355   35.17482584   42.74251835 ...,   13.37579845
    16.80584669    1.77131115]]",8,ochmmutou tfi ne sent arfickieed oi sr nhtgwnaet eoptr
18,en-0540.wav,"the commissioner, who has not come out in favor of price caps, ",/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0540.wav,5.5,"[[ -82.31160375   42.78832791   28.89050931 ...,    1.20223599
    -0.54560518  -15.89697045]
 [-109.9946122    27.75105492   23.5722957  ...,   -7.38786477
     9.34501001    0.89266608]
 [-101.13819181   32.01840222   25.5656465  ...,    4.60137379
    -0.88699924    0.67763479]
 ..., 
 [ -75.45529694   48.43951437   32.38825793 ...,    4.90558112
     2.41916721   -1.32560731]
 [ -98.43238811   24.62670291   17.03542036 ...,    4.34480936
    -2.06269893   -5.1031745 ]
 [ -93.1649049    29.83512169   18.89768432 ...,   -0.39394058
     6.54428952   -6.84403787]]",12,"r ifoo,setmrpci anh  nui c rhpswifhos  v cocom,en m taoeoaetos "
19,en-0541.wav,nevertheless indicated she might be inching toward some controls. ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ajg/wav/en-0541.wav,5.875,"[[ -63.31710227   51.37081067   36.93054148 ...,    1.79069914
    -6.65265416  -22.61150395]
 [-101.5652438    27.06497013   14.14455958 ...,  -10.10691419
    -5.29030694  -13.50529751]
 [ -38.96823031   61.99331864   34.06367126 ...,    3.22742323
     9.81128047   -0.49736339]
 ..., 
 [ -83.64146764   36.88648359   30.33020302 ...,   -8.60855604
     1.97914183   -3.41635477]
 [ -85.75275184   48.39599661   35.70228764 ...,    0.93950451
     2.50084431   -0.6155309 ]
 [ -62.99905923   47.92764555   18.00893708 ...,   -0.60187939
     2.03782122   -1.81055054]]",9,gh h ieeinim o semshrn nedegtwvlecrcdoosnsslthe   tdtieiabr on.cat
20,en-0726.wav,Call me or write when you get those details. ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0726.wav,4.75,"[[-73.99406816  43.13542424  27.02737822 ...,  -6.90274191   4.08498536
   -4.34537824]
 [-78.5060978   36.97067266  27.74660938 ...,  -6.18965393  -5.7981687
   -3.93275242]
 [-80.9349548   41.94006639  20.00365334 ...,   1.51192299   1.76183858
   -0.56356011]
 ..., 
 [-83.42442456  51.33299377  41.28047193 ...,  -2.22684444  -1.2400843
  -15.6641881 ]
 [-65.78293214  47.50198709  38.24769122 ...,   0.95112331   0.13437828
   -3.44011138]
 [-81.89021231  38.5699314   28.32618867 ...,   8.17692392   1.44097335
   -4.94344481]]",9,dtlsCmih eisw en otaygate  wr.   o oleretehlu
21,en-0727.wav,"he has been on this trajectory for several years, ",/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0727.wav,5.625,"[[  -8.91046419   58.89173054   15.2193121  ...,   -4.32063515
    -3.93834138   -6.08142936]
 [   9.08170577   72.84722462   27.04754938 ...,    5.26090552    8.7076555
     6.97915116]
 [  -8.69037973   83.02536007   21.90758264 ...,    8.5064275     5.87223165
    12.85163924]
 ..., 
 [ -95.61384343   26.04413421   13.55820098 ...,   -3.95797063
    -2.12009731   -8.92581055]
 [ -66.86810553   49.23153582   20.78635293 ...,   -9.6728808    -2.41457744
   -10.23788166]
 [-129.24476222   19.05952301   30.45761278 ...,   21.57160213
    14.53883109    3.18297994]]",9,"tthaser seshrayelr  orerns cb aete n hjove yoif, a"
22,en-0728.wav,"sounding the alarm on numerous occasions, both privately and in the press, ",/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0728.wav,6.375,"[[ -81.52156821   36.71746088   30.06506409 ...,   -8.95014732    0.8923561
    -6.50005903]
 [ -96.80209278   41.36294563   32.7871375  ...,   16.08799168
    13.62391876   -3.84336879]
 [-100.69805105   37.90528067   26.80995876 ...,    0.59661227
    11.55022863   -4.89104261]
 ..., 
 [ -57.52322358   50.29505194   25.0116317  ...,   -3.67812019
     3.66909415    2.96795069]
 [-108.11171491   18.9917881    23.82268037 ...,  -14.22380869   -5.4823453
     6.26473137]
 [ -85.45230893   37.14764357   24.40456354 ...,   -3.55025793
     7.29200702   -2.44996069]]",12,"h,i  pn bnecasdau,rnremdupoen tsnono regulahiisocsi  vnls myhtsoae rt ta  o"
23,en-0729.wav,This decision was reached in cooperation with the Board ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0729.wav,5.125,"[[-69.24103167  43.65200134  25.5882763  ...,   1.72672323   2.54386498
  -13.70690918]
 [-68.03683951  49.19392379  41.1111369  ...,   8.40300869   7.43654572
    0.19022796]
 [-89.96820144  47.49870841  39.68298087 ...,   3.92404828   7.72630759
   -4.77156761]
 ..., 
 [-83.69804203  36.30203684  30.32169837 ...,   4.6637865   14.10032842
    2.1823722 ]
 [-42.94596223  74.08728541  27.38596627 ...,  -4.43804081   5.94736005
   -5.06766107]
 [-56.2464154   53.82641601  30.51480113 ...,  10.08838534  13.12644913
   -2.03240529]]",9,  cete ahdBahneirhensdh stTtdo iroia c oo is wreoaciinpw
24,en-0730.wav,and is effective immediately. ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0730.wav,3.75,"[[ -43.33943147   83.67739297   26.05548302 ...,    1.97518642
    11.84596471    5.43403256]
 [ -75.39940742   54.28208383   35.28482393 ...,   -1.91496483
    19.99936579    1.02467518]
 [ -27.846003     76.01520341   23.68325588 ...,   -5.68619196
     2.30313474   -3.41702826]
 ..., 
 [-110.45606911   23.08048441   13.55797349 ...,   -8.3759334    -7.676922
   -16.22125159]
 [ -76.04530763   48.9085833    48.3452347  ...,    4.10667949
     3.63917283    4.64023725]
 [ -85.44423276   37.94756021   22.2475728  ...,   -8.52474051
     6.44284253    2.62403739]]",4,cefs.ntedt vyiia eid eel afmmi
25,en-0731.wav,Give me a shout and tell me what you think. ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0731.wav,3.875,"[[ -78.22535497   45.17148605   23.85303728 ...,   -2.16671285
     8.41375098    5.3201658 ]
 [ -97.2132318    34.31949365   36.14273823 ...,   27.12512607
    10.50915057    5.49197468]
 [-113.1620965    32.98909451   33.12738654 ...,    9.22542866
    11.96588573    7.64685783]
 ..., 
 [-101.6437596    35.69597722   29.97099094 ...,    8.08653772
    18.34955853   12.05534623]
 [-105.67332695   29.74396144   31.38705705 ...,    3.33185943
     8.53997662   -2.00543066]
 [-118.90306818    8.56589832    9.19612746 ...,    1.40993947
     6.66347428    7.96942631]]",10,eueoamt tl s  na.ywvuiin  l hG e d httehoakm
26,en-0732.wav,I'm gonna go and quickly check on my puppy this afternoon. ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0732.wav,5.125,"[[-105.48511508   19.78966492   18.71742178 ...,    7.68376      15.75086558
    11.23075445]
 [ -86.03902612   45.1711959    32.49806415 ...,    2.41532642
     6.51542269    1.27329414]
 [-111.34365551   11.2716987    17.29067694 ...,   -1.7598308     3.90558444
     1.21632914]
 ..., 
 [ -74.67882519   49.47468432   37.08028968 ...,    7.43628676
     7.42887429    5.62341639]
 [-105.95176616   19.81751535   31.57062695 ...,    7.13364166
     2.34156393   -0.36167546]
 [ -79.23588392   44.51804537   40.41655079 ...,    3.81531164
    10.70708657    2.88791616]]",12,o te.ncnhnl  pg 'eqo ofm nuahrnsongaaycIk i    toipykupmdcy
27,en-0733.wav,Researchers at Harvard Medical School recently found that in mice ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0733.wav,6.0,"[[ -7.94439955e+01   4.18536119e+01   3.42703000e+01 ...,  -5.56469107e-01
    1.49560393e+01   9.22845475e-01]
 [ -8.62017937e+01   3.35614892e+01   2.83708453e+01 ...,  -1.32732311e+00
   -2.32706147e+00   2.74184639e-02]
 [ -6.46262454e+01   5.38694280e+01   3.74718821e+01 ...,   9.62976393e+00
    1.17838214e+01  -7.04033328e+00]
 ..., 
 [ -1.09604190e+02   1.69594889e+01   2.13080164e+01 ...,   4.67278229e-01
    7.10140527e-01  -8.82804173e-01]
 [ -1.02273412e+02   3.43654342e+01   3.79898282e+01 ...,   3.97190778e+00
    6.81513172e+00   2.48966752e+00]
 [ -8.33624586e+01   4.27464391e+01   3.01085640e+01 ...,   1.29063240e+01
    1.04606425e+01   4.24602483e+00]]",10,ic iue n rrovalhMtse yrHeoe htldtSafnR otn  ahcida l rmccreeaecsad
28,en-0734.wav,"As for Ron, I really have egg on my face. I totally forgot about Ron. ",/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0734.wav,6.5,"[[ -9.88019887e+01   2.32125337e+01   2.57462778e+01 ...,   8.48466013e+00
    1.62313452e+01   1.51049054e+00]
 [ -9.30851461e+01   2.54391820e+01   1.94643423e+01 ...,   1.75064592e+01
    1.88627667e+01   4.98455324e+00]
 [ -7.58086079e+01   5.36672031e+01   3.62096465e+01 ...,   7.21319175e+00
    8.92138369e+00  -3.49759428e+00]
 ..., 
 [ -1.00652352e+02   2.48850248e+01   3.06451502e+01 ...,   8.43631238e+00
    1.20862173e+01   2.56548828e+00]
 [ -1.22574950e+02   1.48646637e+01   2.02705486e+01 ...,   7.37636825e-01
    1.26317713e+01  -3.74693841e+00]
 [ -9.35833438e+01   3.01646253e+01   2.62412626e+01 ...,   1.10004504e-02
    1.78123424e+01   1.01323751e+01]]",15," l ogne aoIfamlhcfyeov t o Alanuo rr,eRgo ba  setIyo. t.rl  yanRtg f o"
29,en-0735.wav,Credit worthiness will be address in the technical conference ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-tkg/wav/en-0735.wav,5.375,"[[-116.90004891   11.55937967    0.96440734 ...,   -5.42647088
     5.69466651  -12.44087765]
 [-109.0187373    15.49481188   20.82917801 ...,    4.61745867
     7.80367776   -0.81021344]
 [-119.247238     31.6305837    32.592739   ...,   -5.43844388
     5.96696431    3.44721156]
 ..., 
 [ -46.97395029   49.11339532   10.34417257 ...,  -10.09466849
    10.15642746    5.13150346]
 [ -77.26421102   31.20402762   19.88157537 ...,   14.35573808
    16.43817161   12.22544756]
 [ -94.04426702   19.15937992   -2.92605771 ...,   -9.79182893
    -4.71295163   10.05338271]]",9,nnt arolteww csrhdcbnsieetisadel dre nhcfetCo i ile e rc shine
30,en-0647.wav,can you fill it in yourself? I will sign it. ,/Users/Gurtej/Desktop/Data_Part_Project/1337ad-20170321-ynk/wav/en-0647.wav,4.875,"[[-51.53603992  56.63490138  42.74085258 ...,   0.36926289   7.06539764
    4.38739641]
 [-48.60502871  40.96929727  28.9358623  ...,  14.61719066  18.15972506
    3.08473284]
 [-88.09961414  37.54488203  16.52002716 ...,  -2.98342214  11.8717729
    2.73255574]
 ..., 
 [-95.14742186  43.32257854  34.00350227 ...,   3.6177269   -2.86872246
   -4.12721748]
 [-74.76607251  45.9289895   34.26810738 ...,  10.54593076   7.86838239
    3.01042081]
 [-92.92784661  43.62840709  39.65078673 ...,   4.67040567  18.29562283
   -0.30144858]]",10,f?llurwcieyu.iyn it i agsos  n  I i tloil lfn
